Source,Target,Relation,Source_Type,Target_Type,Weight,Paper_Count,Paper_IDs,Years,Edge_Key
marine dinoflagellate alexandrium,toxin production,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,4,4,P069;P070;P098;P108,2006;2025,"('marine dinoflagellate alexandrium', 'toxin production')"
marine dinoflagellate gymnodinium,neosaxitoxin,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,4,4,P055;P057;P202;P204,2015,"('marine dinoflagellate gymnodinium', 'neosaxitoxin')"
marine dinoflagellate gymnodinium,toxin profile,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,4,4,P055;P057;P202;P204,2015,"('marine dinoflagellate gymnodinium', 'toxin profile')"
marine dinoflagellate gymnodinium,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,4,4,P055;P057;P202;P204,2015,"('marine dinoflagellate gymnodinium', 'toxin profile')"
marine dinoflagellate gymnodinium catenatum,neosaxitoxin,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,4,4,P055;P057;P202;P204,2015,"('marine dinoflagellate gymnodinium catenatum', 'neosaxitoxin')"
marine dinoflagellate gymnodinium catenatum,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,4,4,P055;P057;P202;P204,2015,"('marine dinoflagellate gymnodinium catenatum', 'paralytic shellfish toxins')"
marine dinoflagellate gymnodinium catenatum,toxin profile,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,4,4,P055;P057;P202;P204,2015,"('marine dinoflagellate gymnodinium catenatum', 'toxin profile')"
marine dinoflagellate gymnodinium catenatum,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,4,4,P055;P057;P202;P204,2015,"('marine dinoflagellate gymnodinium catenatum', 'toxin profile')"
marine toxins,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P057;P149;P158;P204,2015;2022;2023,"('marine toxins', 'paralytic shellfish toxins')"
microg stx,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P030;P152;P238;P239,2004;2006;2010;2012,"('microg stx', 'saxitoxin')"
n-sulfocarbamoyl toxins,paralytic shellfish poisoning,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P046;P185;P193,1996;2022,"('n-sulfocarbamoyl toxins', 'paralytic shellfish poisoning')"
n-sulfocarbamoyl toxins,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P046;P185;P193,1996;2022,"('n-sulfocarbamoyl toxins', 'paralytic shellfish toxins')"
n-sulfocarbamoyl toxins,sulfocarbamoyl toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P046;P185;P193,1996;2022,"('n-sulfocarbamoyl toxins', 'sulfocarbamoyl toxins')"
n-sulfocarbamoyl toxins,toxin composition,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P046;P185;P193,1996;2022,"('n-sulfocarbamoyl toxins', 'toxin composition')"
n-sulfocarbamoyl toxins,toxin composition,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P046;P185;P193,1996;2022,"('n-sulfocarbamoyl toxins', 'toxin composition')"
n-sulfocarbamoyl toxins,toxin profile,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P046;P185;P193,1996;2022,"('n-sulfocarbamoyl toxins', 'toxin profile')"
n-sulfocarbamoyl toxins,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P046;P185;P193,1996;2022,"('n-sulfocarbamoyl toxins', 'toxin profile')"
neostx,paralytic shellfish poisoning,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,4,4,P053;P090;P200;P227,2003;2006;2016,"('neostx', 'paralytic shellfish poisoning')"
neostx,toxin content,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P087;P090;P189,2006;2010;2016,"('neostx', 'toxin content')"
neostx,toxin content and composition,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P087;P090;P189,2006;2010;2016,"('neostx', 'toxin content and composition')"
neostx,toxin production,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P043;P090;P097;P190,2016;2020;2021,"('neostx', 'toxin production')"
neostx,toxin production,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,4,4,P043;P090;P097;P190,2016;2020;2021,"('neostx', 'toxin production')"
nitrogen,sxt genes,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_GENE_MECHANISM,4,4,P008;P074;P084;P099,2016;2023,"('nitrogen', 'sxt genes')"
nitrogen,sxta,ENV_FACTOR_ASSOCIATED_WITH_GENE,GENE,ENV_FACTOR,4,4,P084;P089;P099;P214,2014;2016;2021;2023,"('nitrogen', 'sxta')"
nitrogen,sxtg,ENV_FACTOR_ASSOCIATED_WITH_GENE,GENE,ENV_FACTOR,4,4,P084;P089;P099;P214,2014;2016;2021;2023,"('nitrogen', 'sxtg')"
nitrogen,toxic dinoflagellate,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,4,4,P074;P093;P136;P237,2000;2012;2019;2023,"('nitrogen', 'toxic dinoflagellate')"
nitrogen,toxin content,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,ENV_FACTOR,TOXIN,4,4,P091;P092;P108;P110,2004;2006;2012;2018,"('nitrogen', 'toxin content')"
nitrogen,toxin-producing,SEMANTIC_CO_OCCURS,TOXIN_PHENOTYPE,ENV_FACTOR,4,4,P076;P089;P095;P139,2011;2021;2023,"('nitrogen', 'toxin-producing')"
non-toxic species,saxitoxin biosynthesis,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,4,4,P001;P115;P130;P142,2021;2024;2026,"('non-toxic species', 'saxitoxin biosynthesis')"
non-toxic species,saxitoxin biosynthesis,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P001;P115;P130;P142,2021;2024;2026,"('non-toxic species', 'saxitoxin biosynthesis')"
non-toxic species,sxta,SEMANTIC_CO_OCCURS,GENE,PHRASE_TOXIN_PHENOTYPE,4,4,P001;P115;P118;P130,2013;2021;2024;2026,"('non-toxic species', 'sxta')"
non-toxic species,sxtb,SEMANTIC_CO_OCCURS,GENE,PHRASE_TOXIN_PHENOTYPE,4,4,P001;P115;P118;P142,2013;2024;2026,"('non-toxic species', 'sxtb')"
nutrient limitation,toxin composition,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P041;P185;P188,1990;2022,"('nutrient limitation', 'toxin composition')"
nutrient limitation,toxin composition,SEMANTIC_CO_OCCURS,PHRASE_ENVIRONMENT,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P041;P185;P188,1990;2022,"('nutrient limitation', 'toxin composition')"
nutrient limitation,toxin production,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P041;P185;P188,1990;2022,"('nutrient limitation', 'toxin production')"
nutrient limitation,toxin profile,ENV_FACTOR_ASSOCIATED_WITH_TOXIN,TOXIN,ENV_FACTOR,4,4,P038;P041;P185;P188,1990;2022,"('nutrient limitation', 'toxin profile')"
nutrient limitation,toxin profile,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P041;P185;P188,1990;2022,"('nutrient limitation', 'toxin profile')"
nutrient limitation,toxin profile,SEMANTIC_CO_OCCURS,PHRASE_ENVIRONMENT,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P041;P185;P188,1990;2022,"('nutrient limitation', 'toxin profile')"
nutrient limitation,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_ENVIRONMENT,4,4,P038;P041;P185;P188,1990;2022,"('nutrient limitation', 'toxin profile')"
other saxitoxin,other saxitoxin derivatives,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin', 'other saxitoxin derivatives')"
other saxitoxin,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin', 'paralytic shellfish toxins')"
other saxitoxin,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin', 'saxitoxin')"
other saxitoxin,saxitoxin derivatives,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin', 'saxitoxin derivatives')"
other saxitoxin,toxin composition,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin', 'toxin composition')"
other saxitoxin,toxin composition,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin', 'toxin composition')"
other saxitoxin,toxin profile,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin', 'toxin profile')"
other saxitoxin,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin', 'toxin profile')"
other saxitoxin derivatives,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin derivatives', 'paralytic shellfish toxins')"
other saxitoxin derivatives,saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin derivatives', 'saxitoxin')"
other saxitoxin derivatives,saxitoxin derivatives,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin derivatives', 'saxitoxin derivatives')"
other saxitoxin derivatives,toxin composition,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin derivatives', 'toxin composition')"
other saxitoxin derivatives,toxin composition,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin derivatives', 'toxin composition')"
other saxitoxin derivatives,toxin profile,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin derivatives', 'toxin profile')"
other saxitoxin derivatives,toxin profile,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('other saxitoxin derivatives', 'toxin profile')"
paralytic shellfish poisoning,presence of c3,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_OTHER,4,4,P046;P048;P193;P195,1996;2014,"('paralytic shellfish poisoning', 'presence of c3')"
paralytic shellfish poisoning,produce saxitoxin,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P116;P122;P127;P132,2009;2014;2022;2025,"('paralytic shellfish poisoning', 'produce saxitoxin')"
paralytic shellfish poisoning,producing dinoflagellate alexandrium,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,4,4,P089;P107;P215;P221,2005;2007;2014;2021,"('paralytic shellfish poisoning', 'producing dinoflagellate alexandrium')"
paralytic shellfish poisoning,psp toxin profile,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P044;P063;P191;P210,2008;2014,"('paralytic shellfish poisoning', 'psp toxin profile')"
paralytic shellfish poisoning,strains of alexandrium,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,4,4,P047;P051;P194;P198,2012;2014,"('paralytic shellfish poisoning', 'strains of alexandrium')"
paralytic shellfish poisoning,stx equivalents,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P027;P154;P239;P241,2006;2009;2017;2018,"('paralytic shellfish poisoning', 'stx equivalents')"
paralytic shellfish poisoning,sxta and sxtg,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_GENE_MECHANISM,4,4,P002;P099;P118;P214,2013;2014;2016;2025,"('paralytic shellfish poisoning', 'sxta and sxtg')"
paralytic shellfish poisoning,toxic bloom,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P100;P105;P228;P232,2015;2019;2022,"('paralytic shellfish poisoning', 'toxic bloom')"
paralytic shellfish poisoning,toxic cyanobacteria,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,4,4,P002;P003;P116;P118,2013;2022;2023;2025,"('paralytic shellfish poisoning', 'toxic cyanobacteria')"
paralytic shellfish poisoning,toxic cyanobacteria,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P002;P003;P116;P118,2013;2022;2023;2025,"('paralytic shellfish poisoning', 'toxic cyanobacteria')"
paralytic shellfish poisoning,toxin accumulation,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P053;P176;P200;P232,2006;2020;2022,"('paralytic shellfish poisoning', 'toxin accumulation')"
paralytic shellfish poisoning,toxin accumulation,SEMANTIC_CO_OCCURS,TOXIN,TOXIN,4,4,P053;P176;P200;P232,2006;2020;2022,"('paralytic shellfish poisoning', 'toxin accumulation')"
paralytic shellfish poisoning,toxin contents,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P003;P054;P201;P216,2017;2021;2023,"('paralytic shellfish poisoning', 'toxin contents')"
paralytic shellfish poisoning,toxin profiles of g,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P037;P038;P184;P185,2022,"('paralytic shellfish poisoning', 'toxin profiles of g')"
paralytic shellfish poisoning,toxin synthesis,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P118;P127;P179;P216,2013;2014;2021,"('paralytic shellfish poisoning', 'toxin synthesis')"
paralytic shellfish poisoning,toxins c1,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P037;P046;P184;P193,1996;2022,"('paralytic shellfish poisoning', 'toxins c1')"
paralytic shellfish poisoning,toxins in the adriatic,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P051;P059;P198;P206,2006;2012,"('paralytic shellfish poisoning', 'toxins in the adriatic')"
paralytic shellfish poisoning,toxins varied,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P037;P046;P184;P193,1996;2022,"('paralytic shellfish poisoning', 'toxins varied')"
paralytic shellfish poisoning,toxins were detected,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P103;P185;P238,2004;2022,"('paralytic shellfish poisoning', 'toxins were detected')"
paralytic shellfish toxin production,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P081;P090;P114,2016;2022;2023,"('paralytic shellfish toxin production', 'paralytic shellfish toxins')"
paralytic shellfish toxin production,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P081;P090;P114,2016;2022;2023,"('paralytic shellfish toxin production', 'paralytic shellfish toxins')"
paralytic shellfish toxin production,shellfish toxin production,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P081;P090;P114,2016;2022;2023,"('paralytic shellfish toxin production', 'shellfish toxin production')"
paralytic shellfish toxin production,toxin production,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P081;P090;P114,2016;2022;2023,"('paralytic shellfish toxin production', 'toxin production')"
paralytic shellfish toxin production,toxin production,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P081;P090;P114,2016;2022;2023,"('paralytic shellfish toxin production', 'toxin production')"
paralytic shellfish toxins,produce toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P133;P134;P168;P241,2004;2009;2022;2025,"('paralytic shellfish toxins', 'produce toxins')"
paralytic shellfish toxins,produced by marine dinoflagellates,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,4,4,P024;P028;P067;P167,2018;2021;2025;2026,"('paralytic shellfish toxins', 'produced by marine dinoflagellates')"
paralytic shellfish toxins,produced by marine dinoflagellates,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,4,4,P024;P028;P067;P167,2018;2021;2025;2026,"('paralytic shellfish toxins', 'produced by marine dinoflagellates')"
paralytic shellfish toxins,producing dinoflagellates,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,4,4,P007;P128;P180;P216,2010;2016;2018;2021,"('paralytic shellfish toxins', 'producing dinoflagellates')"
paralytic shellfish toxins,psp toxin profile,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P044;P063;P191;P210,2008;2014,"('paralytic shellfish toxins', 'psp toxin profile')"
paralytic shellfish toxins,pst biosynthesis,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P067;P175;P214,2014;2016;2026,"('paralytic shellfish toxins', 'pst biosynthesis')"
paralytic shellfish toxins,pst biosynthesis,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P067;P175;P214,2014;2016;2026,"('paralytic shellfish toxins', 'pst biosynthesis')"
paralytic shellfish toxins,pst biosynthesis,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P067;P175;P214,2014;2016;2026,"('paralytic shellfish toxins', 'pst biosynthesis')"
paralytic shellfish toxins,pst biosynthesis,TOXIN_MECHANISM_RELATION,TOXIN,BIOLOGICAL_MECHANISM,4,4,P007;P067;P175;P214,2014;2016;2026,"('paralytic shellfish toxins', 'pst biosynthesis')"
paralytic shellfish toxins,psts in shellfish,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P025;P028;P045;P192,2010;2018;2021,"('paralytic shellfish toxins', 'psts in shellfish')"
paralytic shellfish toxins,psts in shellfish,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P025;P028;P045;P192,2010;2018;2021,"('paralytic shellfish toxins', 'psts in shellfish')"
paralytic shellfish toxins,pyrodinium bahamense,SPECIES_ASSOCIATED_WITH_TOXIN,SPECIES,TOXIN,4,4,P040;P128;P168;P187,2018;2022;2025,"('paralytic shellfish toxins', 'pyrodinium bahamense')"
paralytic shellfish toxins,saxitoxin biosynthesis,TOXIN_MECHANISM_RELATION,TOXIN,BIOLOGICAL_MECHANISM,4,4,P031;P068;P128;P151,2015;2018;2022;2025,"('paralytic shellfish toxins', 'saxitoxin biosynthesis')"
paralytic shellfish toxins,saxitoxin derivatives,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P046;P189;P193,1996;2006,"('paralytic shellfish toxins', 'saxitoxin derivatives')"
paralytic shellfish toxins,shellfish toxin production,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P081;P090;P114,2016;2022;2023,"('paralytic shellfish toxins', 'shellfish toxin production')"
paralytic shellfish toxins,shellfish toxin production,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P081;P090;P114,2016;2022;2023,"('paralytic shellfish toxins', 'shellfish toxin production')"
paralytic shellfish toxins,species of alexandrium,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,4,4,P039;P046;P186;P193,1996;2025,"('paralytic shellfish toxins', 'species of alexandrium')"
paralytic shellfish toxins,strains of alexandrium,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,4,4,P047;P051;P194;P198,2012;2014,"('paralytic shellfish toxins', 'strains of alexandrium')"
paralytic shellfish toxins,stx eq,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P028;P107;P157;P226,2007;2017;2018;2022,"('paralytic shellfish toxins', 'stx eq')"
paralytic shellfish toxins,sulfocarbamoyl toxin,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P048;P189;P195,2006;2014,"('paralytic shellfish toxins', 'sulfocarbamoyl toxin')"
paralytic shellfish toxins,sulfocarbamoyl toxin,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P042;P048;P189;P195,2006;2014,"('paralytic shellfish toxins', 'sulfocarbamoyl toxin')"
paralytic shellfish toxins,sxt genes,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_GENE_MECHANISM,4,4,P001;P128;P134;P168,2018;2022;2025;2026,"('paralytic shellfish toxins', 'sxt genes')"
paralytic shellfish toxins,sxt genes,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_GENE_MECHANISM,4,4,P001;P128;P134;P168,2018;2022;2025;2026,"('paralytic shellfish toxins', 'sxt genes')"
paralytic shellfish toxins,sxta4 gene,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_GENE_MECHANISM,4,4,P007;P068;P151;P216,2015;2016;2021;2025,"('paralytic shellfish toxins', 'sxta4 gene')"
paralytic shellfish toxins,sxta4 gene,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_GENE_MECHANISM,4,4,P007;P068;P151;P216,2015;2016;2021;2025,"('paralytic shellfish toxins', 'sxta4 gene')"
paralytic shellfish toxins,sxtg,SEMANTIC_CO_OCCURS,GENE,PHRASE_TOXIN_PHENOTYPE,4,4,P001;P089;P134;P214,2014;2021;2022;2026,"('paralytic shellfish toxins', 'sxtg')"
paralytic shellfish toxins,sxtn,GENE_ASSOCIATED_WITH_TOXIN,GENE,TOXIN,4,4,P047;P071;P125;P194,2014;2018;2025,"('paralytic shellfish toxins', 'sxtn')"
paralytic shellfish toxins,toxic blooms,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P007;P031;P157;P230,2016;2021;2022,"('paralytic shellfish toxins', 'toxic blooms')"
paralytic shellfish toxins,toxic dinoflagellate,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P033;P054;P141;P201,2013;2017,"('paralytic shellfish toxins', 'toxic dinoflagellate')"
paralytic shellfish toxins,toxic dinoflagellate alexandrium,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P033;P054;P141;P201,2013;2017,"('paralytic shellfish toxins', 'toxic dinoflagellate alexandrium')"
paralytic shellfish toxins,toxin accumulation,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P053;P176;P200;P232,2006;2020;2022,"('paralytic shellfish toxins', 'toxin accumulation')"
paralytic shellfish toxins,toxin analogues,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P053;P055;P200;P202,2006;2015,"('paralytic shellfish toxins', 'toxin analogues')"
paralytic shellfish toxins,toxin biosynthesis,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P125;P141;P147;P175,2016;2017;2018;2021,"('paralytic shellfish toxins', 'toxin biosynthesis')"
paralytic shellfish toxins,toxin composition profiles,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P045;P046;P192;P193,1996;2021,"('paralytic shellfish toxins', 'toxin composition profiles')"
paralytic shellfish toxins,toxin profiles of g,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P055;P185;P202,2015;2022,"('paralytic shellfish toxins', 'toxin profiles of g')"
paralytic shellfish toxins,toxin profiles of g,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P055;P185;P202,2015;2022,"('paralytic shellfish toxins', 'toxin profiles of g')"
paralytic shellfish toxins,toxin-producing dinoflagellates,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P058;P095;P139;P205,2015;2023,"('paralytic shellfish toxins', 'toxin-producing dinoflagellates')"
paralytic shellfish toxins,toxins in the adriatic,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P051;P059;P198;P206,2006;2012,"('paralytic shellfish toxins', 'toxins in the adriatic')"
paralytic shellfish toxins,toxins produced,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P038;P111;P185;P241,2001;2009;2022,"('paralytic shellfish toxins', 'toxins produced')"
paralytic shellfish toxins,toxins were analyzed,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TOXIN_PHENOTYPE,4,4,P061;P103;P106;P208,2004;2014;2022,"('paralytic shellfish toxins', 'toxins were analyzed')"
paralytic shellfish toxins,toxins were analyzed,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TOXIN_PHENOTYPE,4,4,P061;P103;P106;P208,2004;2014;2022,"('paralytic shellfish toxins', 'toxins were analyzed')"
