Source,Source_Type,Target,Target_Type,Hypothesis_Class,Score,Bridge_Score,Common_Neighbors,Distinct_Bridge_Types,Adamic_Adar,Jaccard,Preferential_Attachment,Degree_Source,Degree_Target,Bridge_Nodes,Bridge_Types,Training_Graph,Candidate_Status,Embedding_Source_Target_Similarity,Embedding_Bridge_Mean_Similarity,Node2Vec_Integrated_Score,ML_Probability,Final_AI_Rank_Score
evolution,BIOLOGICAL_PROCESS,sxti,SXT_GENE,gene_process_association,105.23624852605732,14.0,14,5,3.451457596361987,0.3333333333333333,588,42,14,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,TOXIN; CYANO_TAXON; CYANO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
gymnodinium_catenatum,DINO_TAXON,sxti,SXT_GENE,taxon_gene_association,104.35905554360116,14.0,14,5,3.451457596361987,0.2456140350877192,798,57,14,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,TOXIN; CYANO_TAXON; CYANO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
toxin_production,BIOLOGICAL_PROCESS,sxti,SXT_GENE,gene_process_association,104.2757965486562,14.0,14,5,3.451457596361987,0.2372881355932203,826,59,14,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,TOXIN; CYANO_TAXON; CYANO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
gymnodinium,DINO_TAXON,sxti,SXT_GENE,taxon_gene_association,104.160979708853,14.0,14,5,3.451457596361987,0.2258064516129032,868,62,14,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,TOXIN; CYANO_TAXON; CYANO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
sxta,SXT_GENE,secondary_metabolism,BIOLOGICAL_PROCESS,gene_process_association,104.15791233522968,14.0,14,5,3.4678450565037267,0.2222222222222222,1062,59,18,saxitoxin; pyrodinium; temperature; dinoflagellate; toxicity; toxin_production; bloom; light; hplc; nitrogen; nutrient; regulation; pyrodinium_bahamense; dinoflagellates,TOXIN; DINO_TAXON; ENV_FACTOR; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; ENV_FACTOR; DETECTION_METHOD; ENV_FACTOR; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
lyngbya,CYANO_TAXON,sxtu,SXT_GENE,cyano_gene_transfer_signal,103.99160266417964,14.0,12,6,2.995801332089821,0.4,441,21,21,saxitoxin; cyanobacteria; cyanobacterial; paralytic_shellfish_toxins; cylindrospermopsis; gymnodinium; mass_spectrometry; cyanobacterium; paralytic_shellfish_poisoning; sxta; dinoflagellates; biosynthesis,TOXIN; CYANO_TAXON; CYANO_TAXON; TOXIN; CYANO_TAXON; DINO_TAXON; DETECTION_METHOD; CYANO_TAXON; TOXIN; SXT_GENE; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
gymnodinium,DINO_TAXON,sxtd,SXT_GENE,taxon_gene_association,103.98602328500822,13.0,13,6,3.444624545729917,0.2096774193548387,806,62,13,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; mass_spectrometry; dinoflagellates; cyanobacterium; lc_ms; paralytic_shellfish_poisoning; sxta; expression; sxtu; lc_ms_ms; cylindrospermopsis,TOXIN; CYANO_TAXON; TOXIN; DETECTION_METHOD; DINO_TAXON; CYANO_TAXON; DETECTION_METHOD; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS; SXT_GENE; DETECTION_METHOD; CYANO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
toxicity,BIOLOGICAL_PROCESS,sxti,SXT_GENE,gene_process_association,103.96173872213576,14.0,14,5,3.451457596361987,0.2058823529411764,952,68,14,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,TOXIN; CYANO_TAXON; CYANO_TAXON; DINO_TAXON; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
paralytic_shellfish_toxins,TOXIN,environmental_stress,ENV_FACTOR,environment_toxin_association,103.93303245860784,14.0,14,5,3.494294007081696,0.1944444444444444,1008,72,14,saxitoxin; gonyautoxin; dinoflagellate; salinity; toxicity; alexandrium; alexandrium_tamarense; toxin_production; neosaxitoxin; nitrate; light; paralytic_shellfish_poisoning; hplc; nitrogen,TOXIN; TOXIN; DINO_TAXON; ENV_FACTOR; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; TOXIN; ENV_FACTOR; ENV_FACTOR; TOXIN; DETECTION_METHOD; ENV_FACTOR,dino_pre2016,unvalidated_candidate,,,,,
dinoflagellate,DINO_TAXON,sxtd,SXT_GENE,taxon_gene_association,103.59977540724933,13.0,13,6,3.444624545729917,0.1710526315789473,988,76,13,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; mass_spectrometry; dinoflagellates; cyanobacterium; lc_ms; paralytic_shellfish_poisoning; sxta; expression; sxtu; lc_ms_ms; cylindrospermopsis,TOXIN; CYANO_TAXON; TOXIN; DETECTION_METHOD; DINO_TAXON; CYANO_TAXON; DETECTION_METHOD; TOXIN; SXT_GENE; BIOLOGICAL_PROCESS; SXT_GENE; DETECTION_METHOD; CYANO_TAXON,dino_pre2016,unvalidated_candidate,,,,,
sxt_genes,SXT_GENE,resting_cyst,BIOLOGICAL_PROCESS,gene_process_association,103.3030554580114,19.0,12,4,2.88682184665275,0.3529411764705882,480,30,16,dinoflagellate; saxitoxin; paralytic_shellfish_toxins; alexandrium; toxicity; alexandrium_tamarense; gymnodinium; bloom; paralytic_shellfish_poisoning; gymnodinium_catenatum; phylogeny; biosynthesis,DINO_TAXON; TOXIN; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; ENV_FACTOR; TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
cyanobacterium,CYANO_TAXON,sxtb,SXT_GENE,cyano_gene_transfer_signal,102.98597181442992,16.0,11,6,2.617985907214957,0.275,578,34,17,cyanobacterial; cyanobacteria; dinoflagellate; sxta; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; toxin_production; bloom; paralytic_shellfish_poisoning; biosynthesis,CYANO_TAXON; CYANO_TAXON; DINO_TAXON; SXT_GENE; DINO_TAXON; TOXIN; TOXIN; BIOLOGICAL_PROCESS; ENV_FACTOR; TOXIN; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
sxt_genes,SXT_GENE,polyketide_synthase,BIOLOGICAL_PROCESS,gene_process_association,102.67215018934236,16.0,12,5,2.900591223703439,0.3870967741935484,390,30,13,saxitoxin; dinoflagellate; phylogenetic; dinoflagellates; alexandrium; toxicity; gymnodinium; light; gymnodinium_catenatum; sxta; expression; biosynthesis,TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
gonyautoxin,TOXIN,polyketide_synthase,BIOLOGICAL_PROCESS,process_toxin_association,101.10887475509918,16.0,12,5,2.900591223703439,0.2307692307692307,663,51,13,saxitoxin; dinoflagellate; phylogenetic; dinoflagellates; alexandrium; toxicity; gymnodinium; light; gymnodinium_catenatum; sxta; expression; biosynthesis,TOXIN; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; DINO_TAXON; BIOLOGICAL_PROCESS; DINO_TAXON; ENV_FACTOR; DINO_TAXON; SXT_GENE; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
transcriptomic,BIOLOGICAL_PROCESS,sxtb,SXT_GENE,gene_process_association,101.00653170572151,15.0,12,5,2.9343003356193864,0.4137931034482758,408,24,17,cyanobacteria; dinoflagellate; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; transcriptome; evolution; toxin_production; bloom; paralytic_shellfish_poisoning; nutrient; biosynthesis,CYANO_TAXON; DINO_TAXON; DINO_TAXON; TOXIN; TOXIN; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; BIOLOGICAL_PROCESS; ENV_FACTOR; TOXIN; ENV_FACTOR; BIOLOGICAL_PROCESS,dino_pre2016,unvalidated_candidate,,,,,
