dataset,source,source_type,relation,target,target_type,weight,support_documents,first_year,last_year
cyano_all,alexandrium_affine,DINO_TAXON,taxon_associated_with_process,toxicity,BIOLOGICAL_PROCESS,1,STX_DOC_000033,2023.0,2023.0
cyano_all,alexandrium_affine,DINO_TAXON,taxon_associated_with_process,transcriptome,BIOLOGICAL_PROCESS,1,STX_DOC_000033,2023.0,2023.0
cyano_all,alexandrium_catenella,DINO_TAXON,semantic_cooccurrence,cyanobacteria,CYANO_TAXON,8,STX_DOC_000034;STX_DOC_000037;STX_DOC_000040;STX_DOC_000242;STX_DOC_000275;STX_DOC_000322,2013.0,2024.0
cyano_all,alexandrium_catenella,DINO_TAXON,semantic_cooccurrence,dolichospermum,CYANO_TAXON,1,STX_DOC_000037,2024.0,2024.0
cyano_all,alexandrium_catenella,DINO_TAXON,semantic_cooccurrence,gymnodinium,DINO_TAXON,1,STX_DOC_000037,2024.0,2024.0
cyano_all,alexandrium_catenella,DINO_TAXON,semantic_cooccurrence,gymnodinium_catenatum,DINO_TAXON,1,STX_DOC_000037,2024.0,2024.0
cyano_all,alexandrium_catenella,DINO_TAXON,semantic_cooccurrence,light,ENV_FACTOR,1,STX_DOC_000040,2014.0,2014.0
cyano_all,alexandrium_catenella,DINO_TAXON,semantic_cooccurrence,mass_spectrometry,DETECTION_METHOD,1,STX_DOC_000322,2013.0,2013.0
cyano_all,alexandrium_catenella,DINO_TAXON,taxon_associated_with_process,biosynthesis,BIOLOGICAL_PROCESS,6,STX_DOC_000034;STX_DOC_000037;STX_DOC_000040;STX_DOC_000242;STX_DOC_000275;STX_DOC_000322,2013.0,2024.0
cyano_all,alexandrium_catenella,DINO_TAXON,taxon_associated_with_process,expression,BIOLOGICAL_PROCESS,1,STX_DOC_000040,2014.0,2014.0
cyano_all,alexandrium_catenella,DINO_TAXON,taxon_associated_with_process,phylogenetic,BIOLOGICAL_PROCESS,1,STX_DOC_000034,2022.0,2022.0
cyano_all,alexandrium_catenella,DINO_TAXON,taxon_associated_with_process,regulation,BIOLOGICAL_PROCESS,1,STX_DOC_000275,2015.0,2015.0
cyano_all,alexandrium_catenella,DINO_TAXON,taxon_associated_with_process,saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,1,STX_DOC_000037,2024.0,2024.0
cyano_all,alexandrium_catenella,DINO_TAXON,taxon_associated_with_process,toxin_biosynthesis,BIOLOGICAL_PROCESS,4,STX_DOC_000034;STX_DOC_000040;STX_DOC_000242;STX_DOC_000322,2013.0,2022.0
cyano_all,alexandrium_catenella,DINO_TAXON,taxon_associated_with_process,transcriptome,BIOLOGICAL_PROCESS,2,STX_DOC_000040;STX_DOC_000242,2014.0,2017.0
cyano_all,alexandrium_catenella,DINO_TAXON,taxon_associated_with_process,transcriptomic,BIOLOGICAL_PROCESS,2,STX_DOC_000242;STX_DOC_000275,2015.0,2017.0
cyano_all,alexandrium_fundyense,DINO_TAXON,semantic_cooccurrence,anabaena,CYANO_TAXON,1,STX_DOC_000044,2023.0,2023.0
cyano_all,alexandrium_fundyense,DINO_TAXON,semantic_cooccurrence,aphanizomenon,CYANO_TAXON,1,STX_DOC_000044,2023.0,2023.0
