collection,title,abstract,journal,year,paper_id,domain,group
effect,Toxin production of dinoflagellate Gymnodinium catenatum isolated from the East China Sea,"Dinoflagellate Gymnodinium catenatum is an important producer of paralytic shellfish toxins (PSTs), including a novel group of hydroxybenzoate derivatives named GC toxins. In the East China Sea, G. catenatum has been considered as the causative agent for several paralytic shellfish poisoning (PSP) episodes, yet the knowledge on their toxin production was still quite limited. In this study, toxins produced by a strain of G. catenatum (MEL11) isolated from the East China Sea were determined, using high performance liquid chromatography coupled with tandem mass spectrometry (HPLC-MS/MS). Changes of toxin profile in the stain MEL11 in response to nutrient and temperature variations were also examined. A total of 11 PST components dominated by hydroxybenzoate analogs and N-sulfocarbamoyl toxins were detected, which was different from other G. catenatum strains previously established in the East China Sea in the presence of GC5 and the lack of dcGTX2&3. Cellular toxin composition and content of the strain had no apparent change within a range of temperature from 20°C to 26°C. In contrast, nutrient limitation and nitrogen source had notable impacts on toxin production. The molar percentage of GC toxins decreased remarkably at the stationary growth phase under nutrient-deprived conditions of both nitrogen (N) and phosphorus (P). The replacement of nitrate with ammonium as the source of N significantly promoted PST production by G. catenatum. The study revealed the potential diversity of toxin profiles of G. catenatum in the East China Sea, and highlighted the effects of nutrients on production of GC toxins by G. catenatum.",Harmful Algae,2022,P038,dinoflagellate,test
effect,Paralytic Shellfish Toxins of Pyrodinium bahamense (Dinophyceae) in the Southeastern Gulf of Mexico,"In September and November 2016, eight marine sampling sites along the coast of the southeastern Gulf of Mexico were monitored for the presence of lipophilic and hydrophilic toxins. Water temperature, salinity, hydrogen potential, dissolved oxygen saturation, inorganic nutrients and phytoplankton abundance were also determined. Two samples filtered through glass fiber filters were used for the extraction and analysis of paralytic shellfish toxins (PSTs) by lateral flow immunochromatography (IFL), HPLC with post-column oxidation and fluorescent detection (FLD) and UHPLC coupled to tandem mass spectrometry (UHPLC-MS/MS). Elevated nutrient contents were associated with the sites of rainwater discharge or those near anthropogenic activities. A predominance of the dinoflagellate Pyrodinium bahamense was found with abundances of up to 104 cells L-1. Identification of the dinoflagellate was corroborated by light and scanning electron microscopy. Samples for toxins were positive by IFL, and the analogs NeoSTX and STX were identified and quantified by HPLC-FLD and UHPLC-MS/MS, with a total PST concentration of 6.5 pg cell-1. This study is the first report that confirms the presence of PSTs in P. bahamense in Mexican waters of the Gulf of Mexico.",Toxins,2022,P040,dinoflagellate,test
effect,LC-HRMS Profiling of Paralytic Shellfish Toxins in Mytilus galloprovincialis after a Gymnodinium catenatum Bloom,"Saxitoxin and its more than 50 analogues are a group of naturally occurring neurotoxins collectively designated as paralytic shellfish toxins (PSTs). PSTs are toxic to humans and maximum legal limits in seafood have been implemented by regulatory authorities worldwide. In the European Union, monitoring of PSTs is performed using the AOAC Official Method 2005.06, based on liquid chromatography coupled with fluorescence detection (LC- FLD). However, this method has been suggested to not effectively detect the emerging C-11 hydroxyl (M-toxins) and benzoate (GC-toxins) analogues, with these analogues currently not being surveyed in monitoring programs. In this study, a liquid chromatography-high resolution mass spectrometry (LC-HRMS) method was used to search for these emerging PSTs in mussels, Mytilus galloprovincialis, contaminated following an intense Gymnodinium catenatum bloom in the Tagus estuary (Lisbon, Portugal). Five M-toxins (M1, M2, M6, dcM6, and dcM10), but no GC-toxins, were detected in the mussels' whole-soft body tissue. Moreover, the classical PSTs (C1 to C4, GTX 4 to GTX6, dcGTX1 to dcGTX4, dcSTX, dcNEO, and STX) were also found and comprised the largest fraction of the PSTs' profile. The presence of unregulated PSTs in edible mussel samples suggests potential seafood safety risks and urges further research to determine the frequency of these analogues in seafood and their contribution to toxicity.",Marine Drugs,2022,P049,dinoflagellate,test
effect,"Marine paralytic shellfish toxins: chemical properties, mode of action, newer analogues, and structure-toxicity relationship","Up to the end of 2020Every year, the appearance of marine biotoxins causes enormous socio-economic damage worldwide. Among the major groups of biotoxins, paralytic shellfish toxins, comprising saxitoxin and its analogues (STXs), are the ones that cause the most severe effects on humans, including death. However, the knowledge that currently exists on their chemistry, properties and mode of toxicological action is disperse and partially outdated. This review intends to systematically compile the dispersed information, updating and complementing it. With this purpose, it addresses several aspects related to the molecular structure of these toxins. Special focus is given to the bioconversion reactions that may occur in the different organisms (dinoflagellates, bivalves, and humans) and the possible mediators involved. A critical review of the most recently discovered analogues, the M-series toxins, is presented. Finally, a deep discussion about the relationship between the molecular structure (e.g., effect of the substituting groups and the net charge of the molecules) and the toxic activity of these molecules is performed, proposing the concept of ""toxicological traffic light"" based on the toxicity equivalency factors (TEFs).",Natural Product Reports,2022,P052,dinoflagellate,test
environmental,Temperature influences the content and biosynthesis gene expression of saxitoxins (STXs) in the toxigenic dinoflagellate Alexandrium pacificum,"Temperature may affect the production of saxitoxin (STX) and its derivatives (STXs); however, this is still controversial. Further, STX-biosynthesis gene regulation and the relation of its toxicity with temperature are not clearly understood. In the present study, we evaluated the effects of different temperatures (12 °C, 16 °C, and 20 °C) on the growth, toxin profiles, and expression of two core STX-biosynthesis genes, sxtA and sxtG, in the toxic dinoflagellate Alexandrium pacificum Alex05, isolated from Korean coasts. We found that temperature significantly affected cell growth, with maximum growth recorded at 16 °C, followed by 20 °C and 12 °C. HPLC analysis revealed mostly 12 of STXs from the tested cultures. Interestingly, the contents of STXs increased in the cells cultured at 16 °C and exposed to cold stress, compared to the 20 °C culture and heat stress; however, toxin components were much more diverse under heat stress. These toxin profiles generally matched with the sxtA and sxtG expression levels. Incubation at lower temperatures (12 °C and 16 °C) and exposure to cold stress increased sxtA and sxtG expressions in the cells, whereas heat stress showed little change or downregulated the transcription of both genes. Principal component analysis (PCA) showed low correlation between STXs eq and expressional levels of sxtA and sxtG in heat-stressed cells. These results suggest that temperature might be a crucial factor affecting the level and biosynthesis of STXs in marine toxic dinoflagellates.",The Science of the Total Environment,2022,P077,dinoflagellate,test
environmental,"Effect of Different N:P Ratios on the Growth, Toxicity, and Toxin Profile of Gymnodinium catenatum (Dinophyceae) Strains from the Gulf of California","The harmful microalgae Gymnodinium catenatum is a unique naked dinoflagellate that produces paralytic shellfish poisoning toxins (PSTs). This species is common along the coasts of the Mexican Pacific and is responsible for paralytic shellfish poisoning, which has resulted in notable financial losses in both fisheries and aquaculture. In the Gulf of California, G. catenatum has been related to mass mortality events in fish, shrimp, seabirds, and marine mammals. In this study, the growth, toxin profiles, and toxin content of four G. catenatum strains isolated from Bahía de La Paz (BAPAZ) and Bahía de Mazatlán (BAMAZ) were evaluated with different N:P ratios, keeping the phosphorus concentration constant. All strains were cultivated in semi-continuous cultures (200 mL, 21.0 °C, 120 µmol photon m-2s-1, and a 12:12 h light-dark cycle) with f/2 + Se medium using N:P ratios of: 4:1, 8:1, 16:1, 32:1, and 64:1. Paralytic toxins were analyzed by HPLC with fluorescence detection. Maximum cellular abundance and growth were obtained at an N:P ratio of 64:1 (3188 cells mL-1 and 0.34 div day-1) with the BAMAZ and BAPAZ strains. A total of ten saxitoxin analogs dominated by N-sulfocarbamoyl (60-90 mol%), decarbamoyl (10-20 mol%), and carbamoyl (5-10 mol%) toxins were detected. The different N:P ratios did not cause significant changes in the PST content or toxin profiles of the strains from both bays, although they did affect cell abundance.",Toxins,2022,P103,dinoflagellate,test
environmental,The effect of iron on Chilean Alexandrium catenella growth and paralytic shellfish toxin production as related to algal blooms,"The dinoflagellate Alexandrium catenella is a well-known paralytic shellfish toxin producer that forms harmful algal blooms (HABs) worldwide. Blooms of this species have repeatedly brought severe ecological and economic impacts to Chile, especially in the southern region, where the shellfish and salmon industries are world-famous. The mechanisms of such HABs have been intensively studied but are still unclear. Nutrient overloading is one of the often-discussed drivers for HABs. The present study used the A. catenella strain isolated from southern Chile to investigate how iron conditions could affect their growth and toxin production as related to HAB. Our results showed that an optimum concentration of iron was pivotal for proper A. catenella growth. Thus, while excess iron exerted a toxic effect, low iron media led to iron insufficiency and growth inhibition. In addition, the study shows that the degree of paralytic shellfish toxin production by A. catenella varied depending on the iron concentration in the culture media. The A. catenella strain from southern Chile produced GTX1-4 exclusively in the fmol cell?1 scale. Based on these findings, we suggest that including iron and paralytic shellfish toxin measurements in the fields can improve the current HAB monitoring and contribute to an understanding of A. catenella bloom dynamics in Chile.",BioMetals,2022,P114,dinoflagellate,test
evolution,Unveiling the genomic structures and evolutionary events of the saxitoxin biosynthetic gene sxtA in the marine toxic dinoflagellate Alexandrium,"Marine dinoflagellates Alexandriumare known to produce saxitoxin (STX) and cause paralytic shellfish poisoning (PSP) which can result in mortality in human. SxtA is considered a core gene for the biosynthesis of STX. However, its gene coding structure and evolutionary history have yet to be fully elucidated. Here, we determined the full-length sequences of sxtA cDNA and genomic coding regions from two toxic dinoflagellates, Alexandrium catenella (LIMS-PS-2645 and LIMS-PS-2647) andA. pacificum (LMBE-C4), characterised their domain structures, and resolved evolutionary events. The sxtA gene was encoded on the genome without introns, and was identical in length (4002 bp) between two A. catenella strains, but their sequences differed from A. pacificum (5031 bp). SxtA consists of four domains, sxtA1, sxtA2, sxtA3, and sxtA4; however, A. pacificum has an extra domain TauD near sxtA1. Each domain had >64.4% GC content, with the highest being 71.6% in sxtA3. Molecular divergence was found to be significantly higher in sxtA4 than in the other domains. Phylogenetic trees of sxtA and separate domains showed that bacteria diverged earliest, followed by non-toxic, toxic cyanobacteria, toxic dinoflagellates. While sxtA domains in Alexandrium were similar to the PKS-like structure with the conserved sxtA1, sxtA2, and sxtA3. PKS_KS may be replaced by sxtA4 in toxic Alexandrium. These suggest that sxtA in Alexandrium may have evolved by acquiring specific domains, whose modification and complexity markedly affect toxin biosynthesis.",Molecular Phylogenetics and Evolution,2022,P116,dinoflagellate,test
mechanisms,Genetic association of toxin production in the dinoflagellate Alexandrium minutum,"Dinoflagellates of the genus Alexandrium are responsible for harmful algal blooms and produce paralytic shellfish toxins (PSTs). Their very large and complex genomes make it challenging to identify the genes responsible for toxin synthesis. A family-based genomic association study was developed to determine the inheritance of toxin production in Alexandrium minutum and identify genomic regions linked to this production. We show that the ability to produce toxins is inheritable in a Mendelian way, while the heritability of the toxin profile is more complex. We developed the first dinoflagellate genetic linkage map. Using this map, several major results were obtained: 1. A genomic region related to the ability to produce toxins was identified. 2. This region does not contain any polymorphic sxt genes, known to be involved in toxin production in cyanobacteria. 3. The sxt genes, known to be present in a single cluster in cyanobacteria, are scattered on different linkage groups in A. minutum. 4. The expression of two sxt genes not assigned to any linkage group, sxtI and sxtG, may be regulated by the genomic region related to the ability to produce toxins. Our results provide new insights into the organization of toxicity-related genes in A. minutum, suggesting a dissociated genetic mechanism for the production of the different analogues and the ability to produce toxins. However, most of the newly identified genes remain unannotated. This study therefore proposes new candidate genes to be further explored to understand how dinoflagellates synthesize their toxins.",Microbial Genomics,2022,P134,dinoflagellate,test
policy_monitoring,Nontoxic Enantiomeric Reference Materials for Saxitoxins,"Saxitoxin (STX) is a potent neurotoxin that is biosynthesized by toxic dinoflagellates and accumulated in shellfish via the food chain. STX and its various analogues are now monitored in shellfish by the hygiene authorities in many countries with instrumental analytical methods, which require calibration with standards. Unfortunately, STX is registered as a chemical warfare agent in Schedule 1 of the Chemical Weapons Convention, and this has made it difficult to import calibration standards into some countries. We aimed to avoid violation of the Chemical Weapons Convention and facilitate analyses by preparing calibration standards based on unnatural nontoxic antipodal STXs (ent-STXs) with the same physicochemical properties as natural STXs. Our findings demonstrate that the nontoxic ent-STXs can be safely utilized as alternative reference materials of STXs in the routine monitoring program by the local authorities and consequently can lead to reduced usage of STX.",Analytical Chemistry,2022,P156,dinoflagellate,test
policy_monitoring,Paralytic shellfish toxins in Alaskan Arctic food webs during the anomalously warm ocean conditions of 2019 and estimated toxin doses to Pacific walruses and bowhead whales,"Climate change-related ocean warming and reduction in Arctic sea ice extent, duration and thickness increase the risk of toxic blooms of the dinoflagellate Alexandrium catenella in the Alaskan Arctic. This algal species produces neurotoxins that impact marine wildlife health and cause the human illness known as paralytic shellfish poisoning (PSP). This study reports Paralytic Shellfish Toxin (PST) concentrations quantified in Arctic food web samples that include phytoplankton, zooplankton, benthic clams, benthic worms, and pelagic fish collected throughout summer 2019 during anomalously warm ocean conditions. PSTs (saxitoxin equivalents, STX eq.) were detected in all trophic levels with concentrations above the seafood safety regulatory limit (80 ?g STX eq. 100 g-1) in benthic clams collected offshore on the continental shelf in the Beaufort, Chukchi, and Bering Seas. Most notably, toxic benthic clams (Macoma calcarea) were found north of Saint Lawrence Island where Pacific walruses (Odobenus rosmarus) are known to forage for a variety of benthic species, including Macoma. Additionally, fecal samples collected from 13 walruses harvested for subsistence purposes near Saint Lawrence Island during March to May 2019, all contained detectable levels of STX, with fecal samples from two animals (78 and 72 ?g STX eq. 100 g-1) near the seafood safety regulatory limit. In contrast, 64% of fecal samples from zooplankton-feeding bowhead whales (n = 9) harvested between March and September 2019 in coastal waters of the Beaufort Sea near Utqia?vik (formerly Barrow) and Kaktovik were toxin-positive, and those levels were significantly lower than in walruses (max bowhead 8.5 ?g STX eq. 100 g-1). This was consistent with the lower concentrations of PSTs found in regional zooplankton prey. Maximum ecologically-relevant daily toxin doses to walruses feeding on clams and bowhead whales feeding on zooplankton were estimated to be 21.5 and 0.7 ?g STX eq. kg body weight-1 day-1, respectively, suggesting that walruses had higher PST exposures than bowhead whales. Average and maximum STX doses in walruses were in the range reported previously to cause illness and/or death in humans and humpback whales, while bowhead whale doses were well below those levels. These findings raise concerns regarding potential increases in PST/STX exposure risks and health impacts to Arctic marine mammals as ocean warming and sea ice reduction continue.",Harmful Algae,2022,P157,dinoflagellate,test
policy_monitoring,Progress on the investigation and monitoring of marine phycotoxins in China,"Marine phycotoxins associated with paralytic shellfish poisoning (PSP), diarrhetic shellfish poisoning (DSP), amnesic shellfish poisoning (ASP), neurotoxic shellfish poisoning (NSP), ciguatera fish poisoning (CFP), tetrodotoxin (TTX), palytoxin (PLTX) and neurotoxin ?-N-methylamino-L-alanine (BMAA) have been investigated and routinely monitored along the coast of China. The mouse bioassay for monitoring of marine toxins has been progressively replaced by the enzyme-linked immunosorbent assay (ELISA) and liquid chromatography tandem mass spectrometry (LC-MS/MS), which led to the discovery of many new hydrophilic and lipophilic marine toxins. PSP toxins have been detected in the whole of coastal waters of China, where they are the most serious marine toxins. PSP events in the Northern Yellow Sea, the Bohai Sea and the East China Sea are a cause of severe public health concern. Okadaic acid (OA) and dinophysistoxin-1 (DTX1), which are major toxin components associated with DSP, were mainly found in coastal waters of Zhejiang and Fujian provinces, and other lipophilic toxins, such as pectenotoxins, yessotoxins, azaspiracids, cyclic imines, and dinophysistoxin-2(DTX2) were detected in bivalves, seawater, sediment, as well as phytoplankton. CFP events mainly occurred in the South China Sea, while TTX events mainly occurred in Jiangsu, Zhejiang and Fujian provinces. Microalgae that produce PLTX and BMAA were found in the phytoplankton community along the coastal waters of China.",Harmful Algae,2022,P158,dinoflagellate,test
toxin_profile,Toxin Profile of Two Gymnodinium catenatum Strains from Iberian Coastal Waters,"Gymnodinium catenatum has been the main species responsible for paralytic shellfish poisoning events along the Portuguese coast (Iberian Peninsula), causing bans on bivalve harvesting that result in huge economic losses. This work presents the characterization of two novel isolates of G. catenatum regarding their growth and toxin profiles. Laboratory growth experiments revealed that, although low growth rates were obtained during cultivation, the cell yields were high compared to those reported in the literature. Evaluation of the toxin profiles, by HPLC-FLD, essentially confirmed the typical composition of toxins of this regional population (Iberian Peninsula), namely, the absence or low representation of the toxins dcNEO, GTX1,4 and NEO and a higher ratio of the toxins C1,2, GTX6 and GTX5. However, the percentage of the identified toxins varied among the strains of this study (under the same isolation, growth, and analysis conditions), and also differed from that of other strains described in the literature. Interestingly, we found a comparatively high abundance of dcSTX in both strains, relative to the other toxins, and an unquantifiable amount of C3,4 toxins. In addition to the geographic relationship between toxin profiles, chemical conversions among toxins may explain some differences encountered in the toxin profiles of G. catenatum strains.",Toxins,2022,P184,dinoflagellate,test
toxin_profile,Toxin production of dinoflagellate Gymnodinium catenatum isolated from the East China Sea,"Dinoflagellate Gymnodinium catenatum is an important producer of paralytic shellfish toxins (PSTs), including a novel group of hydroxybenzoate derivatives named GC toxins. In the East China Sea, G. catenatum has been considered as the causative agent for several paralytic shellfish poisoning (PSP) episodes, yet the knowledge on their toxin production was still quite limited. In this study, toxins produced by a strain of G. catenatum (MEL11) isolated from the East China Sea were determined, using high performance liquid chromatography coupled with tandem mass spectrometry (HPLC-MS/MS). Changes of toxin profile in the stain MEL11 in response to nutrient and temperature variations were also examined. A total of 11 PST components dominated by hydroxybenzoate analogs and N-sulfocarbamoyl toxins were detected, which was different from other G. catenatum strains previously established in the East China Sea in the presence of GC5 and the lack of dcGTX2&3. Cellular toxin composition and content of the strain had no apparent change within a range of temperature from 20°C to 26°C. In contrast, nutrient limitation and nitrogen source had notable impacts on toxin production. The molar percentage of GC toxins decreased remarkably at the stationary growth phase under nutrient-deprived conditions of both nitrogen (N) and phosphorus (P). The replacement of nitrate with ammonium as the source of N significantly promoted PST production by G. catenatum. The study revealed the potential diversity of toxin profiles of G. catenatum in the East China Sea, and highlighted the effects of nutrients on production of GC toxins by G. catenatum.",Harmful Algae,2022,P185,dinoflagellate,test
toxin_profile,Paralytic Shellfish Toxins of Pyrodinium bahamense (Dinophyceae) in the Southeastern Gulf of Mexico,"In September and November 2016, eight marine sampling sites along the coast of the southeastern Gulf of Mexico were monitored for the presence of lipophilic and hydrophilic toxins. Water temperature, salinity, hydrogen potential, dissolved oxygen saturation, inorganic nutrients and phytoplankton abundance were also determined. Two samples filtered through glass fiber filters were used for the extraction and analysis of paralytic shellfish toxins (PSTs) by lateral flow immunochromatography (IFL), HPLC with post-column oxidation and fluorescent detection (FLD) and UHPLC coupled to tandem mass spectrometry (UHPLC-MS/MS). Elevated nutrient contents were associated with the sites of rainwater discharge or those near anthropogenic activities. A predominance of the dinoflagellate Pyrodinium bahamense was found with abundances of up to 104 cells L-1. Identification of the dinoflagellate was corroborated by light and scanning electron microscopy. Samples for toxins were positive by IFL, and the analogs NeoSTX and STX were identified and quantified by HPLC-FLD and UHPLC-MS/MS, with a total PST concentration of 6.5 pg cell-1. This study is the first report that confirms the presence of PSTs in P. bahamense in Mexican waters of the Gulf of Mexico.",Toxins,2022,P187,dinoflagellate,test
toxin_profile,LC-HRMS Profiling of Paralytic Shellfish Toxins in Mytilus galloprovincialis after a Gymnodinium catenatum Bloom,"Saxitoxin and its more than 50 analogues are a group of naturally occurring neurotoxins collectively designated as paralytic shellfish toxins (PSTs). PSTs are toxic to humans and maximum legal limits in seafood have been implemented by regulatory authorities worldwide. In the European Union, monitoring of PSTs is performed using the AOAC Official Method 2005.06, based on liquid chromatography coupled with fluorescence detection (LC- FLD). However, this method has been suggested to not effectively detect the emerging C-11 hydroxyl (M-toxins) and benzoate (GC-toxins) analogues, with these analogues currently not being surveyed in monitoring programs. In this study, a liquid chromatography-high resolution mass spectrometry (LC-HRMS) method was used to search for these emerging PSTs in mussels, Mytilus galloprovincialis, contaminated following an intense Gymnodinium catenatum bloom in the Tagus estuary (Lisbon, Portugal). Five M-toxins (M1, M2, M6, dcM6, and dcM10), but no GC-toxins, were detected in the mussels' whole-soft body tissue. Moreover, the classical PSTs (C1 to C4, GTX 4 to GTX6, dcGTX1 to dcGTX4, dcSTX, dcNEO, and STX) were also found and comprised the largest fraction of the PSTs' profile. The presence of unregulated PSTs in edible mussel samples suggests potential seafood safety risks and urges further research to determine the frequency of these analogues in seafood and their contribution to toxicity.",Marine Drugs,2022,P196,dinoflagellate,test
toxin_profile,"Marine paralytic shellfish toxins: chemical properties, mode of action, newer analogues, and structure-toxicity relationship","Up to the end of 2020Every year, the appearance of marine biotoxins causes enormous socio-economic damage worldwide. Among the major groups of biotoxins, paralytic shellfish toxins, comprising saxitoxin and its analogues (STXs), are the ones that cause the most severe effects on humans, including death. However, the knowledge that currently exists on their chemistry, properties and mode of toxicological action is disperse and partially outdated. This review intends to systematically compile the dispersed information, updating and complementing it. With this purpose, it addresses several aspects related to the molecular structure of these toxins. Special focus is given to the bioconversion reactions that may occur in the different organisms (dinoflagellates, bivalves, and humans) and the possible mediators involved. A critical review of the most recently discovered analogues, the M-series toxins, is presented. Finally, a deep discussion about the relationship between the molecular structure (e.g., effect of the substituting groups and the net charge of the molecules) and the toxic activity of these molecules is performed, proposing the concept of ""toxicological traffic light"" based on the toxicity equivalency factors (TEFs).",Natural Product Reports,2022,P199,dinoflagellate,test
hab,Continental shelf off northern Chilean Patagonia: A potential risk zone for the onset of Alexandrium catenella toxic bloom?,"Harmful Algal Blooms (HAB) pose a severe socio-economic problem worldwide. The dinoflagellate species Alexandrium catenella produces potent neurotoxins called saxitoxins (STXs) and its blooms are associated with the human intoxication named Paralytic Shellfish Poisoning (PSP). Knowing where and how these blooms originate is crucial to predict blooms. Most studies in the Chilean Patagonia, were focused on coastal areas, considering that blooms from the adjacent oceanic region are almost non-existent. Using a combination of field studies and modelling approaches, we first evaluated the role of the continental shelf off northern Chilean Patagonia as a source of A. catenella resting cysts, which may act as inoculum for their toxic coastal blooms. This area is characterized by a seasonal upwelling system with positive Ekman pumping during spring-summer, and by the presence of six major submarine canyons. We found out that these submarine canyons increase the vertical advection of bottom waters, and thus, significantly enhance the process of coastal upwelling. This is a previously unreported factor, among those involved in bloom initiation. This finding put this offshore area at high risk of resuspension of resting cysts of A. catenella. Here, we discuss in detail the physical processes promoting this resuspension.",Marine Pollution Bulletin,2022,P228,dinoflagellate,test
hab,"An investigation on bloom dynamics of Alexandrium catenella and A. pacificum and toxin accumulation in shellfish along the coast of Qinhuangdao, China","The dinoflagellate genus Alexandrium comprises most of the toxic bloom-forming species producing paralytic shellfish toxins (PSTs) in the sea. Recently, repeated paralytic shellfish poisoning episodes have been recorded in Qinhuangdao located at the west coast of the Bohai Sea. To elucidate the relationship between toxic Alexandrium blooms and the poisoning episodes, a year-round investigation was carried out in this region from July 2020 to July 2021. Two qPCR assays were used to detect A. catenella and A. pacificum, and LC-MS/MS was applied to analyze PSTs in phytoplankton and shellfish samples. The blooms of A. catenella and A. pacificum were found in April and July, respectively, and PST content in three bivalves exhibited notable increase following the bloom of A. catenella. The results revealed bloom dynamics of the two toxic Alexandrium species in the Bohai Sea for the first time, and further confirmed A. catenella as the causative agent of poisoning episodes.",Marine Pollution Bulletin,2022,P232,dinoflagellate,test
hab,Emerging harmful algal bloom species over the last four decades in China,"The first recorded micro-algae bloom in Chinese coastal waters dates back to 1933 and was caused by a mixture of Noctiluca scintillans and Skeletonema costatum sensu lato along the Zhejiang coast (the East China Sea). While well-documented harmful algal blooms (HABs) appeared to be extremely scarce from the 1950s to 1990, both the frequency and intensity have been reportedly increasing since 1990. Among them, the fish-killing HABs, mainly caused by Karenia mikimotoi, Karlodinium digitatum, Karlodinium veneficum, Margalefidinium polykrikoides, and Heterocapsa spp., have intensified. Karenia mikimotoi was responsible for at least two extremely serious events in the Pearl River Estuary in 1998 and the Taiwan Strait (in the East China Sea) in 2012, which appeared to be associated with abnormal climate conditions and excessive nutrients loading. Other major toxic algal blooms have been caused by the species responsible for paralytic shellfish poisoning (including Alexandrium catenella, Alexandrium pacificum, Gymnodinium catenatum) and diarrhetic shellfish poisoning (including Dinophysis spp., and a couple of benthic dinoflagellates). Consequent closures of shellfish farms have resulted in enormous economic losses, while consumption of contaminated shellfish has led to occasional human mortality in the Bohai Sea and the East China Sea. Expansions of these HABs species along the coastline of China have occurred over the last four decades and, due to the projected global changes in the climate and marine environments and other anthropological activities, there is potential for the emergence of new types of HABs in China in the future. This literature review aimed to present an updated overview of HABs species over the last four decades in China.",Harmful Algae,2022,P233,dinoflagellate,test
gene_cluster,sxtA4+ and sxtA4- Genotypes Occur Together within Natural Pyrodinium bahamense Sub-Populations from the Western Atlantic,"Saxitoxin (STX) is a secondary metabolite and potent neurotoxin produced by several genera of harmful algal bloom (HAB) marine dinoflagellates. The basis for variability in STX production within natural bloom populations is undefined as both toxic and non-toxic strains (of the same species) have been isolated from the same geographic locations. Pyrodinium bahamense is a STX-producing bioluminescent dinoflagellate that blooms along the east coast of Florida as well as the bioluminescent bays in Puerto Rico (PR), though no toxicity reports exist for PR populations. The core genes in the dinoflagellate STX biosynthetic pathway have been identified, and the sxtA4 gene is essential for toxin production. Using sxtA4 as a molecular proxy for the genetic capacity of STX production, we examined sxtA4+ and sxtA4- genotype frequency at the single cell level in P. bahamense populations from different locations in the Indian River Lagoon (IRL), FL, and Mosquito Bay (MB), a bioluminescent bay in PR. Multiplex PCR was performed on individual cells with Pyrodinium-specific primers targeting the 18S rRNA gene and sxtA4. The results reveal that within discrete natural populations of P. bahamense, both sxtA4+ and sxtA4- genotypes occur, and the sxtA4+ genotype dominates. In the IRL, the frequency of the sxtA4+ genotype ranged from ca. 80-100%. In MB, sxtA4+ genotype frequency ranged from ca 40-66%. To assess the extent of sxtA4 variation within individual cells, sxtA4 amplicons from single cells representative of the different sampling sites were cloned and sequenced. Overall, two variants were consistently obtained, one of which is likely a pseudogene based on alignment with cDNA sequences. These are the first data demonstrating the existence of both genotypes in natural P. bahamense sub-populations, as well as sxtA4 presence in P. bahamense from PR. These results provide insights on underlying genetic factors influencing the potential for toxin variability among natural sub-populations of HAB species and highlight the need to study the genetic diversity within HAB sub-populations at a fine level in order to identify the molecular mechanisms driving HAB evolution.",Microorganisms,2021,P006,dinoflagellate,test
detection,Quick detection method for paralytic shellfish toxins (PSTs) monitoring in freshwater - A review,"The objective of this critical review was to provide a comprehensive summary of paralytic shellfish toxins (PSTs) producing species and knowledge gaps in detecting PSTs in drinking water resources, with a focus on recent development of PSTs monitoring methods and tools for drinking water monitoring. PSTs, which are also called Saxitoxins (STXs), are a group of neurotoxins not only produced by marine dinoflagellates but also freshwater cyanobacteria. The presence of PSTs in freshwater has been reported from all continents except Antarctica. PSTs in poisoned sea food such as shellfish, molluscs and crustaceans may attack the nerve system after consumption. The high incidences of PSTs occurring in drinking water sources showed another route of potential human exposure. A development of simple and fast screening tools for drinking water surveillance of PSTs is needed. Neurotoxins produced by freshwater cyanobacteria are understudied relative to microcystin and little study is done around PSTs in drinking water monitoring. Some fast screening methods exist. The critical issues for using them in water surveillance, particularly matrix effect and cross-reactivity are summarized, and future research directions are high-lighted. We conclude that monitoring routines at drinking water resources should start from species level, followed by a profound screening of toxin profile. For practical monitoring routine, fast screening methods should be combined with highly sensitive and accurate analytical methods such as liquid chromatography/liquid chromatography-mass spectrometry (LC/LC-MS). A thorough understanding of toxin profile in source water is necessary for screening tool selection.",Chemosphere,2021,P024,dinoflagellate,test
