edge_key,source,target,source_type,target_type,post2015_relation,dino_post_weight,cyano_prior_weight,dino_pre_prior_weight,in_cyano_prior,in_dino_pre_prior,transfer_type,transfer_support_score
bloom||regulation,bloom,regulation,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,5,9.0,5.0,1,1,cyano_and_dino_prior_signal,14.0
cyanobacteria||nitrate,cyanobacteria,nitrate,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,4,13.0,1.0,1,1,cyano_and_dino_prior_signal,14.0
dinoflagellates||harmful_algal_bloom,dinoflagellates,harmful_algal_bloom,DINO_TAXON,BIOLOGICAL_PROCESS,semantic_cooccurrence;taxon_associated_with_process,21,4.0,9.0,1,1,cyano_and_dino_prior_signal,13.0
dinoflagellate||harmful_algal_bloom,dinoflagellate,harmful_algal_bloom,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence;taxon_associated_with_process,15,4.0,9.0,1,1,cyano_and_dino_prior_signal,13.0
nitrogen||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,nitrogen,TOXIN,ENV_FACTOR,environment_associated_with_toxin,12,6.0,7.0,1,1,cyano_and_dino_prior_signal,13.0
dinoflagellates||nitrate,dinoflagellates,nitrate,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,12,5.0,8.0,1,1,cyano_and_dino_prior_signal,13.0
dinoflagellate||nutrients,dinoflagellate,nutrients,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,10,2.0,11.0,1,1,cyano_and_dino_prior_signal,13.0
bloom||expression,bloom,expression,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,8,10.0,3.0,1,1,cyano_and_dino_prior_signal,13.0
nitrate||nutrient,nitrate,nutrient,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,6,5.0,8.0,1,1,cyano_and_dino_prior_signal,13.0
phosphorus||toxicity,phosphorus,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,4,11.0,2.0,1,1,cyano_and_dino_prior_signal,13.0
bloom||dolichospermum,dolichospermum,bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,13.0,0.0,1,0,cyano_only_prior_signal,13.0
dinoflagellates||temperature,dinoflagellates,temperature,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,16,3.0,9.0,1,1,cyano_and_dino_prior_signal,12.0
paralytic_shellfish_poisoning||temperature,paralytic_shellfish_poisoning,temperature,TOXIN,ENV_FACTOR,environment_associated_with_toxin,14,5.0,7.0,1,1,cyano_and_dino_prior_signal,12.0
bloom||temperature,temperature,bloom,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,11,6.0,6.0,1,1,cyano_and_dino_prior_signal,12.0
alexandrium||phosphate,alexandrium,phosphate,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,6,1.0,11.0,1,1,cyano_and_dino_prior_signal,12.0
saxitoxin||warming,saxitoxin,warming,TOXIN,ENV_FACTOR,environment_associated_with_toxin,6,9.0,3.0,1,1,cyano_and_dino_prior_signal,12.0
phosphate||saxitoxin,saxitoxin,phosphate,TOXIN,ENV_FACTOR,environment_associated_with_toxin,4,7.0,5.0,1,1,cyano_and_dino_prior_signal,12.0
expression||nutrient,nutrient,expression,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,4,7.0,5.0,1,1,cyano_and_dino_prior_signal,12.0
nutrient||regulation,nutrient,regulation,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,4,6.0,6.0,1,1,cyano_and_dino_prior_signal,12.0
cyanobacteria||warming,cyanobacteria,warming,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence,1,12.0,0.0,1,0,cyano_only_prior_signal,12.0
alexandrium||salinity,alexandrium,salinity,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,18,0.0,11.0,0,1,dino_prior_only_signal,11.0
paralytic_shellfish_toxins||temperature,paralytic_shellfish_toxins,temperature,TOXIN,ENV_FACTOR,environment_associated_with_toxin,16,2.0,9.0,1,1,cyano_and_dino_prior_signal,11.0
alexandrium||nutrients,alexandrium,nutrients,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,10,1.0,10.0,1,1,cyano_and_dino_prior_signal,11.0
nutrient||salinity,salinity,nutrient,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,8,2.0,9.0,1,1,cyano_and_dino_prior_signal,11.0
dinoflagellate||phosphorus,dinoflagellate,phosphorus,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,6,2.0,9.0,1,1,cyano_and_dino_prior_signal,11.0
phosphate||toxin_production,phosphate,toxin_production,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,5,2.0,9.0,1,1,cyano_and_dino_prior_signal,11.0
phosphorus||toxin_production,phosphorus,toxin_production,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,4,6.0,5.0,1,1,cyano_and_dino_prior_signal,11.0
paralytic_shellfish_toxins||phosphorus,paralytic_shellfish_toxins,phosphorus,TOXIN,ENV_FACTOR,environment_associated_with_toxin,2,6.0,5.0,1,1,cyano_and_dino_prior_signal,11.0
bloom||lc_ms,bloom,lc_ms,ENV_FACTOR,DETECTION_METHOD,semantic_cooccurrence,2,9.0,2.0,1,1,cyano_and_dino_prior_signal,11.0
expression||nitrogen,nitrogen,expression,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,9,8.0,2.0,1,1,cyano_and_dino_prior_signal,10.0
light||toxicity,light,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,9,1.0,9.0,1,1,cyano_and_dino_prior_signal,10.0
light||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,light,TOXIN,ENV_FACTOR,environment_associated_with_toxin,8,2.0,8.0,1,1,cyano_and_dino_prior_signal,10.0
paralytic_shellfish_poisoning||phosphorus,paralytic_shellfish_poisoning,phosphorus,TOXIN,ENV_FACTOR,environment_associated_with_toxin,7,4.0,6.0,1,1,cyano_and_dino_prior_signal,10.0
nitrogen||regulation,nitrogen,regulation,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process,7,5.0,5.0,1,1,cyano_and_dino_prior_signal,10.0
alexandrium_minutum||bloom,alexandrium_minutum,bloom,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,6,2.0,8.0,1,1,cyano_and_dino_prior_signal,10.0
alexandrium_minutum||nutrient,alexandrium_minutum,nutrient,DINO_TAXON,ENV_FACTOR,semantic_cooccurrence,5,2.0,8.0,1,1,cyano_and_dino_prior_signal,10.0
bloom||light,light,bloom,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,5,6.0,4.0,1,1,cyano_and_dino_prior_signal,10.0
nitrate||paralytic_shellfish_toxins,paralytic_shellfish_toxins,nitrate,TOXIN,ENV_FACTOR,environment_associated_with_toxin,5,2.0,8.0,1,1,cyano_and_dino_prior_signal,10.0
light||salinity,salinity,light,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,4,2.0,8.0,1,1,cyano_and_dino_prior_signal,10.0
cyanobacterial||harmful_algal_bloom,cyanobacterial,harmful_algal_bloom,CYANO_TAXON,ENV_FACTOR,semantic_cooccurrence;taxon_associated_with_process,2,9.0,1.0,1,1,cyano_and_dino_prior_signal,10.0
nitrate||paralytic_shellfish_poisoning,paralytic_shellfish_poisoning,nitrate,TOXIN,ENV_FACTOR,environment_associated_with_toxin,8,5.0,4.0,1,1,cyano_and_dino_prior_signal,9.0
harmful_algal_bloom||toxicity,harmful_algal_bloom,toxicity,ENV_FACTOR,BIOLOGICAL_PROCESS,environment_associated_with_process;semantic_cooccurrence,8,3.0,6.0,1,1,cyano_and_dino_prior_signal,9.0
nitrogen||sxta,sxta,nitrogen,SXT_GENE,ENV_FACTOR,semantic_cooccurrence,8,8.0,1.0,1,1,cyano_and_dino_prior_signal,9.0
nutrients||temperature,temperature,nutrients,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,7,7.0,2.0,1,1,cyano_and_dino_prior_signal,9.0
nitrate||nutrients,nitrate,nutrients,ENV_FACTOR,ENV_FACTOR,semantic_cooccurrence,6,4.0,5.0,1,1,cyano_and_dino_prior_signal,9.0
