Source,Target,Score,Common_Neighbors,Weighted_Common_Neighbors,Adamic_Adar,Preferential_Attachment,Bio_Bonus,Bridge_Nodes,Match
cellular toxin,involved in stx,79.8371708757079,10,32.0,2.1622684403113306,812,17,alexandrium;alexandrium tamarense;biosynthesis;dinoflagellates;paralytic shellfish poisoning;saxitoxin;sxta;sxta and sxtg;sxtg;toxin production,0
paralytic shellfish toxins,saxitoxin biosynthesis gene,79.81725225579324,7,55.0,1.5620962364806195,1424,15,biosynthesis;cyanobacteria;dinoflagellates;paralytic shellfish poisoning;phylogenetic analysis;saxitoxin;saxitoxin biosynthesis,0
phosphorus,paralytic shellfish toxin profiles,79.81166063552479,9,57.0,1.8933319422621215,1426,12,alexandrium;alexandrium tamarense;gonyautoxins;paralytic shellfish toxins;saxitoxin;temperature;toxin composition;toxin content;toxin profile,0
phosphorus,shellfish toxin profiles,79.81166063552479,9,57.0,1.8933319422621215,1426,12,alexandrium;alexandrium tamarense;gonyautoxins;paralytic shellfish toxins;saxitoxin;temperature;toxin composition;toxin content;toxin profile,0
alexandrium ostenfeldii,biosynthesis gene,79.78852359103459,7,56.0,1.5174501479280498,646,15,alexandrium;alexandrium minutum;dinoflagellates;paralytic shellfish poisoning;phylogenetic analysis;saxitoxin;toxin production,0
phylogeny,growth and toxin production,79.73767612703764,9,34.0,1.8302664023705966,660,18,alexandrium;alexandrium tamarense;dinoflagellates;gonyautoxins;paralytic shellfish toxins;saxitoxin;toxin content;toxin production;toxin profile,0
alexandrium ostenfeldii,gene copy number,79.73139905065693,9,69.0,2.0192348152763078,570,9,alexandrium;alexandrium minutum;alexandrium spp;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;toxic alexandrium;toxin content,0
cellular toxin,saxitoxin derivatives,79.7253733245507,10,56.0,2.0831624141170826,1044,11,alexandrium;alexandrium tamarense;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;temperature;toxin composition;toxin content;toxin profile,0
clade,biosynthetic pathway,79.72018435754038,7,29.0,1.48449653772554,252,22,biosynthesis;dinoflagellates;evolution;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,0
phosphorus,toxic dinoflagellates,79.71677160847327,7,77.0,1.3833575289916502,460,10,alexandrium;alexandrium tamarense;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;temperature,0
gene copy number,phylogeny,79.69828171148924,7,49.0,1.36499791604226,495,17,alexandrium;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;toxin content,0
sxta and sxtg,clade,79.69817902194512,8,43.0,1.6838231275072961,540,17,alexandrium;biosynthesis;dinoflagellates;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;sxt genes;sxta,0
evolution,growth and toxin,79.671146023794,7,48.0,1.3655267415050958,1272,17,alexandrium;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;toxin production;toxin profile,0
cellular toxin,differences in toxin,79.65639812056958,11,46.0,2.468084677933753,667,12,alexandrium;dinoflagellates;gonyautoxins;nitrogen;nutrient limitation;phosphorus;saxitoxin;toxin composition;toxin content;toxin production;toxin profile,0
biosynthetic pathway,species of marine dinoflagellates,79.65411328572051,8,24.0,1.7108002424202966,154,22,biosynthesis;cyanobacteria;dinoflagellates;evolution;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,0
alexandrium pacificum,saxitoxin synthesis,79.64281557409184,10,36.0,2.154920581247963,575,16,alexandrium;alexandrium fundyense;alexandrium tamarense;biosynthesis;dinoflagellates;genes involved;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,0
phylogenetic analysis,toxin analogues,79.61627539884108,10,36.0,2.127216746814398,644,16,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;paralytic toxin;saxitoxin;toxin profile,0
involved in stx,non-toxic species,79.59934144038097,13,42.0,3.216464254529907,364,10,cyanobacteria;dinoflagellates;homologs;paralytic shellfish poisoning;saxitoxin;sxt genes;sxta;sxta and sxtg;sxtb;sxtg;toxic cyanobacteria;toxic species;toxin production,0
alexandrium ostenfeldii,pst biosynthesis,79.59199871258855,6,54.0,1.1765523390471462,456,17,alexandrium;dinoflagellates;paralytic shellfish toxins;saxitoxin;toxin content;toxin production,0
homologs,phylogenetic analysis,79.55288154426168,9,45.0,1.8842655033701945,897,15,alexandrium;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis,0
sxtg,phosphorus limitation,79.54988249183457,7,39.0,1.508563095824542,1150,19,alexandrium;dinoflagellates;nitrogen;phosphorus;producing dinoflagellates;saxitoxin;toxin production,0
evolution,dominant toxins,79.54746344218341,9,36.0,1.918867874040251,1961,17,alexandrium;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;species of alexandrium;toxin production;toxin profile,0
salinity,paralytic toxin,79.54043107368591,11,50.0,2.328633335280776,1222,11,alexandrium;alexandrium ostenfeldii;dinoflagellates;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;toxin composition;toxin content;toxin profile,0
biosynthetic pathway,species of cyanobacteria,79.53068654774697,8,22.0,2.0361976681725555,126,22,biosynthesis;cyanobacteria;dinoflagellates;evolution;gene transfer;horizontal gene;horizontal gene transfer;saxitoxin,0
pst biosynthesis,stx-producing,79.52684468803733,8,43.0,1.6638252746786983,432,17,alexandrium;biosynthesis;dinoflagellates;genes involved;paralytic shellfish toxins;saxitoxin;sxta;toxin production,0
phosphorus,sulfocarbamoyl toxin,79.52078618857465,11,46.0,2.2669042827477663,1702,12,alexandrium;alexandrium tamarense;dinoflagellates;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;temperature;toxin composition;toxin content;toxin profile,0
alexandrium spp,nutrient limitation,79.50740004590106,9,57.0,1.9295080736776216,624,12,alexandrium;dinoflagellates;nitrogen;phosphorus;saxitoxin;toxin composition;toxin content;toxin production;toxin profile,0
dominant toxins,growth and toxin production,79.49188410439271,12,37.0,2.562627930581556,740,13,alexandrium;alexandrium tamarense;dinoflagellates;gonyautoxins;nitrogen;paralytic shellfish toxins;phosphorus;saxitoxin;toxin composition;toxin content;toxin production;toxin profile,0
dinoflagellates,toxicity of alexandrium,79.47516788170834,12,38.0,2.8371084529668185,2772,12,alexandrium;alexandrium fundyense;gonyautoxins;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;psp toxin production;saxitoxin;temperature;toxin content;toxin production;toxin synthesis,0
neostx,paralytic toxin,79.46875360674606,11,54.0,2.353827386038695,910,10,alexandrium;dinoflagellates;genus alexandrium;gonyautoxins;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;toxin analogues;toxin composition;toxin content;toxin profile,0
genus alexandrium,gene copy,79.44655625160873,12,47.0,2.822602522056749,1050,10,alexandrium;alexandrium minutum;alexandrium spp;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;pyrodinium;saxitoxin;sxt gene;sxta;toxic alexandrium;toxin content,0
nitrogen,fed with the toxic,79.43784568308348,12,48.0,2.609341554339368,1365,10,alexandrium;alexandrium catenella;alexandrium tamarense;dinoflagellates;gonyautoxins;neostx;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;toxic dinoflagellate;toxin composition;toxin profile,0
paralytic shellfish poisoning,involved in stx biosynthesis,79.4372476909167,9,31.0,2.0505894664440674,1940,18,alexandrium;biosynthesis;dinoflagellates;involved in stx;saxitoxin;saxitoxin biosynthesis;sxt genes;sxta;sxtg,0
toxin production,dinoflagellates and cyanobacteria,79.42558540650789,8,46.0,1.674610925901241,900,16,alexandrium;alexandrium catenella;biosynthesis;cyanobacteria;dinoflagellates;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis,0
pst-producing,toxin analogues,79.39845197054186,9,37.0,1.9197304194863083,532,17,alexandrium;biosynthesis;dcstx;dinoflagellates;gymnodinium;gymnodinium catenatum;paralytic shellfish toxins;saxitoxin;toxin profile,0
horizontal gene transfer,sxta4 gene,79.38228421667864,5,31.0,1.0452511650027874,242,24,alexandrium;biosynthesis;saxitoxin;saxitoxin biosynthesis;sxta,0
homologs,gene cluster,79.31870786545235,10,35.0,2.125658857415272,975,16,alexandrium;biosynthesis;cyanobacteria;dinoflagellates;genes involved;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;sxta;toxin production,0
