Source,Target,Score,Common_Neighbors,Weighted_Common_Neighbors,Adamic_Adar,Preferential_Attachment,Bio_Bonus,Bridge_Nodes,Match
producing dinoflagellates,biosynthesis genes,124.67104046691735,10,97.0,2.2520478660537124,924,23,alexandrium;biosynthesis;clade;dinoflagellates;evolution;genus alexandrium;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,1
gene expression,toxin synthesis,124.30927593368267,13,89.0,2.838270898305303,726,21,alexandrium;alexandrium catenella;biosynthesis;dinoflagellates;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;sxta;sxta and sxtg;sxtg;toxin content;toxin production,1
gymnodinium,biosynthesis genes,122.9902225276789,11,88.0,2.497293927863543,1092,23,alexandrium;alexandrium catenella;biosynthesis;clade;dinoflagellates;evolution;genus alexandrium;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,1
saxitoxin biosynthesis,sxtb,122.86987254611145,14,90.0,3.412269385444408,1430,18,dinoflagellates;genes involved;homologs;involved in stx;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;stx-producing;sxt genes;sxta;sxtg;toxic species;toxin production;toxin synthesis,1
saxitoxin biosynthesis,cyanobacteria and dinoflagellates,122.50733904787548,15,52.0,3.6173546562027568,1495,26,alexandrium tamarense;cyanobacteria;dinoflagellates;evolution;genes involved;homologs;paralytic shellfish poisoning;saxitoxin;saxitoxin synthesis;stx-producing;sxt genes;sxta;sxtg;toxin production;toxin synthesis,1
biosynthesis,stx synthesis,122.46404694150661,16,78.0,3.8876154245579,2002,18,alexandrium tamarense;cyanobacteria;dinoflagellates;genes involved;homologs;involved in stx;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;stx-producing;sxt genes;sxta;sxta and sxtg;sxtg;toxin production;toxin synthesis,1
paralytic shellfish poisoning,core genes,122.18117822686142,13,97.0,3.2202645765592117,3104,17,alexandrium;alexandrium pacificum;alexandrium tamarense;biosynthesis;gene cluster;genes involved;involved in stx;paralytic shellfish toxins;saxitoxin;saxitoxin biosynthesis;sxt gene;sxta;toxic species,1
saxitoxin biosynthesis,toxic alexandrium,121.92056448698294,12,101.0,2.595833365734905,1430,18,alexandrium;alexandrium minutum;alexandrium tamarense;cyanobacteria;dinoflagellates;genus alexandrium;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxt gene;sxta;toxin production,1
alexandrium tamarense,light,121.46516604675554,16,88.0,3.86157314961001,2346,15,alexandrium;alexandrium minutum;cellular toxin;dinoflagellates;gonyautoxins;growth and toxin;growth and toxin production;nitrogen;phosphorus;salinity;saxitoxin;temperature;toxic dinoflagellate;toxin content;toxin production;toxin profile,1
producing dinoflagellate,toxin synthesis,121.03482697035105,15,83.0,3.322460514856038,1254,18,alexandrium;alexandrium catenella;alexandrium fundyense;alexandrium tamarense;biosynthesis;cyanobacteria;dinoflagellates;homologs;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxta;sxtg,1
gonyautoxins,stx-producing,120.87737409477653,15,86.0,3.2841669831001457,3132,17,alexandrium;alexandrium catenella;alexandrium tamarense;biosynthesis;dinoflagellates;genus alexandrium;gymnodinium;gymnodinium catenatum;paralytic shellfish poisoning;paralytic shellfish toxins;producing dinoflagellates;saxitoxin;strains of alexandrium;toxic dinoflagellate;toxin production,1
temperature,sxta and sxtg,120.58559158075842,11,59.0,2.410911722937067,2220,29,alexandrium;alexandrium minutum;biosynthesis;cellular toxin;dinoflagellates;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;phosphorus;saxitoxin;toxin production,1
biosynthesis,toxic alexandrium,120.08870076503763,12,101.0,2.595833365734905,2002,17,alexandrium;alexandrium minutum;alexandrium tamarense;cyanobacteria;dinoflagellates;genus alexandrium;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxt gene;sxta;toxin production,1
biosynthesis genes,genes involved,119.9308015195486,10,84.0,2.2394556691986347,616,24,alexandrium;alexandrium catenella;biosynthesis;dinoflagellates;evolution;gene expression;paralytic shellfish poisoning;saxitoxin;saxitoxin biosynthesis;sxta,1
saxitoxin biosynthesis,stx synthesis,119.9138683520663,15,75.0,3.5936013207626942,1430,19,alexandrium tamarense;cyanobacteria;dinoflagellates;genes involved;homologs;involved in stx;paralytic shellfish poisoning;producing dinoflagellates;saxitoxin;stx-producing;sxt genes;sxta;sxtg;toxin production;toxin synthesis,1
stx biosynthesis genes,sxtg,119.39678028145072,7,123.0,1.5525084867821433,650,18,alexandrium;biosynthesis;dinoflagellates;gene expression;saxitoxin;saxitoxin biosynthesis;sxta,1
alexandrium pacificum,stx biosynthesis genes,119.274608523658,7,132.0,1.4742390954433013,299,16,alexandrium;alexandrium catenella;biosynthesis;dinoflagellates;saxitoxin;saxitoxin biosynthesis;sxta,1
alexandrium spp,phylogeny,119.08025943118844,14,81.0,3.0674583233987676,858,19,alexandrium;alexandrium ostenfeldii;alexandrium tamarense;cyanobacteria;dinoflagellates;genus alexandrium;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;sxta;toxin content;toxin production;toxin profile;toxin-producing,1
sxtg,salinity,118.48061345295352,9,102.0,1.866438476227829,2350,20,alexandrium;alexandrium minutum;dinoflagellates;genus alexandrium;nitrogen;paralytic shellfish poisoning;paralytic shellfish toxins;saxitoxin;toxin production,1
